     i,          n,    7,    5,    3,    2
   741,     127008,    2,    0,    4,    5
   742,     127575,    1,    2,    6,    0
   743,     128000,    0,    3,    0,   10
   744,     128625,    3,    3,    1,    0
   745,     129024,    1,    0,    2,   11
   746,     129600,    0,    2,    4,    6
   747,     129654,    4,    0,    3,    1
   748,     131072,    0,    0,    0,   17
   749,     131220,    0,    1,    8,    2
   750,     131250,    1,    5,    1,    1
   751,     131712,    3,    0,    1,    7
   752,     132300,    2,    2,    3,    2
   753,     134400,    1,    2,    1,    8
   754,     134456,    5,    0,    0,    3
   755,     135000,    0,    4,    3,    3
   756,     136080,    1,    1,    5,    4
   757,     137200,    3,    2,    0,    4
   758,     137781,    1,    0,    9,    0
   759,     138240,    0,    1,    3,   10
   760,     138915,    3,    1,    4,    0
   761,     139968,    0,    0,    7,    6
   762,     140000,    1,    4,    0,    5
   763,     140625,    0,    6,    2,    0
   764,     141120,    2,    1,    2,    6
   765,     141750,    1,    3,    4,    1
   766,     142884,    2,    0,    6,    2
   767,     143360,    1,    1,    0,   12
   768,     144000,    0,    3,    2,    7
   769,     144060,    4,    1,    1,    2
   770,     145152,    1,    0,    4,    8
   771,     145800,    0,    2,    6,    3
   772,     147000,    2,    3,    1,    3
   773,     147456,    0,    0,    2,   14
   774,     148176,    3,    0,    3,    4
   775,     150000,    0,    5,    1,    4
   776,     150528,    2,    0,    1,   10
   777,     151200,    1,    2,    3,    5
   778,     151263,    5,    0,    2,    0
   779,     151875,    0,    4,    5,    0
   780,     153090,    1,    1,    7,    1
   781,     153125,    2,    5,    0,    0
   782,     153600,    0,    2,    1,   11
   783,     153664,    4,    0,    0,    6
   784,     154350,    3,    2,    2,    1
   785,     155520,    0,    1,    5,    7
   786,     156250,    0,    7,    0,    1
   787,     156800,    2,    2,    0,    7
   788,     157464,    0,    0,    9,    3
   789,     157500,    1,    4,    2,    2
   790,     158760,    2,    1,    4,    3
   791,     160000,    0,    4,    0,    8
   792,     161280,    1,    1,    2,    9
   793,     162000,    0,    3,    4,    4
   794,     163296,    1,    0,    6,    5
   795,     163840,    0,    1,    0,   15
   796,     164025,    0,    2,    8,    0
   797,     164640,    3,    1,    1,    5
   798,     165375,    2,    3,    3,    0
   799,     165888,    0,    0,    4,   11
   800,     166698,    3,    0,    5,    1
   801,     168000,    1,    3,    1,    6
   802,     168070,    5,    1,    0,    1
   803,     168750,    0,    5,    3,    1
   804,     169344,    2,    0,    3,    7
   805,     170100,    1,    2,    5,    2
   806,     171500,    3,    3,    0,    2
   807,     172032,    1,    0,    1,   13
   808,     172800,    0,    2,    3,    8
   809,     172872,    4,    0,    2,    3
   810,     174960,    0,    1,    7,    4
   811,     175000,    1,    5,    0,    3
   812,     175616,    3,    0,    0,    9
   813,     176400,    2,    2,    2,    4
   814,     177147,    0,    0,   11,    0
   815,     178605,    2,    1,    6,    0
   816,     179200,    1,    2,    0,   10
   817,     180000,    0,    4,    2,    5
   818,     180075,    4,    2,    1,    0
   819,     181440,    1,    1,    4,    6
   820,     182250,    0,    3,    6,    1
   821,     183708,    1,    0,    8,    2
   822,     183750,    2,    4,    1,    1
   823,     184320,    0,    1,    2,   12
   824,     185220,    3,    1,    3,    2
   825,     186624,    0,    0,    6,    8
   826,     187500,    0,    6,    1,    2
   827,     188160,    2,    1,    1,    8
   828,     189000,    1,    3,    3,    3
   829,     190512,    2,    0,    5,    4
   830,     192000,    0,    3,    1,    9
   831,     192080,    4,    1,    0,    4
   832,     193536,    1,    0,    3,   10
   833,     194400,    0,    2,    5,    5
   834,     194481,    4,    0,    4,    0
   835,     196000,    2,    3,    0,    5
   836,     196608,    0,    0,    1,   16
   837,     196830,    0,    1,    9,    1
   838,     196875,    1,    5,    2,    0
   839,     197568,    3,    0,    2,    6
   840,     198450,    2,    2,    4,    1
   841,     200000,    0,    5,    0,    6
   842,     200704,    2,    0,    0,   12
   843,     201600,    1,    2,    2,    7
   844,     201684,    5,    0,    1,    2
   845,     202500,    0,    4,    4,    2
   846,     204120,    1,    1,    6,    3
   847,     204800,    0,    2,    0,   13
   848,     205800,    3,    2,    1,    3
   849,     207360,    0,    1,    4,    9
   850,     209952,    0,    0,    8,    5
   851,     210000,    1,    4,    1,    4
   852,     211680,    2,    1,    3,    5
   853,     212625,    1,    3,    5,    0
   854,     214326,    2,    0,    7,    1
   855,     214375,    3,    4,    0,    0
   856,     215040,    1,    1,    1,   11
   857,     216000,    0,    3,    3,    6
   858,     216090,    4,    1,    2,    1
   859,     217728,    1,    0,    5,    7
   860,     218700,    0,    2,    7,    2
   861,     218750,    1,    6,    0,    1
   862,     219520,    3,    1,    0,    7
   863,     220500,    2,    3,    2,    2
   864,     221184,    0,    0,    3,   13
   865,     222264,    3,    0,    4,    3
   866,     224000,    1,    3,    0,    8
   867,     225000,    0,    5,    2,    3
   868,     225792,    2,    0,    2,    9
   869,     226800,    1,    2,    4,    4
   870,     229376,    1,    0,    0,   15
   871,     229635,    1,    1,    8,    0
   872,     230400,    0,    2,    2,   10
   873,     230496,    4,    0,    1,    5
   874,     231525,    3,    2,    3,    0
   875,     233280,    0,    1,    6,    6
   876,     234375,    0,    7,    1,    0
   877,     235200,    2,    2,    1,    6
   878,     235298,    6,    0,    0,    1
   879,     236196,    0,    0,   10,    2
   880,     236250,    1,    4,    3,    1
   881,     238140,    2,    1,    5,    2
   882,     240000,    0,    4,    1,    7
   883,     240100,    4,    2,    0,    2
   884,     241920,    1,    1,    3,    8
   885,     243000,    0,    3,    5,    3
   886,     244944,    1,    0,    7,    4
   887,     245000,    2,    4,    0,    3
   888,     245760,    0,    1,    1,   14
   889,     246960,    3,    1,    2,    4
   890,     248832,    0,    0,    5,   10
   891,     250000,    0,    6,    0,    4
   892,     250047,    3,    0,    6,    0
   893,     250880,    2,    1,    0,   10
   894,     252000,    1,    3,    2,    5
   895,     252105,    5,    1,    1,    0
   896,     253125,    0,    5,    4,    0
   897,     254016,    2,    0,    4,    6
   898,     255150,    1,    2,    6,    1
   899,     256000,    0,    3,    0,   11
   900,     257250,    3,    3,    1,    1
   901,     258048,    1,    0,    2,   12
   902,     259200,    0,    2,    4,    7
   903,     259308,    4,    0,    3,    2
   904,     262144,    0,    0,    0,   18
   905,     262440,    0,    1,    8,    3
   906,     262500,    1,    5,    1,    2
   907,     263424,    3,    0,    1,    8
   908,     264600,    2,    2,    3,    3
   909,     268800,    1,    2,    1,    9
   910,     268912,    5,    0,    0,    4
   911,     270000,    0,    4,    3,    4
   912,     272160,    1,    1,    5,    5
   913,     273375,    0,    3,    7,    0
   914,     274400,    3,    2,    0,    5
   915,     275562,    1,    0,    9,    1
   916,     275625,    2,    4,    2,    0
   917,     276480,    0,    1,    3,   11
   918,     277830,    3,    1,    4,    1
   919,     279936,    0,    0,    7,    7
   920,     280000,    1,    4,    0,    6
   921,     281250,    0,    6,    2,    1
   922,     282240,    2,    1,    2,    7
   923,     283500,    1,    3,    4,    2
   924,     285768,    2,    0,    6,    3
   925,     286720,    1,    1,    0,   13
   926,     288000,    0,    3,    2,    8
   927,     288120,    4,    1,    1,    3
   928,     290304,    1,    0,    4,    9
   929,     291600,    0,    2,    6,    4
   930,     294000,    2,    3,    1,    4
   931,     294912,    0,    0,    2,   15
   932,     295245,    0,    1,   10,    0
   933,     296352,    3,    0,    3,    5
   934,     297675,    2,    2,    5,    0
   935,     300000,    0,    5,    1,    5
   936,     300125,    4,    3,    0,    0
   937,     301056,    2,    0,    1,   11
   938,     302400,    1,    2,    3,    6
   939,     302526,    5,    0,    2,    1
   940,     303750,    0,    4,    5,    1
   941,     306180,    1,    1,    7,    2
   942,     306250,    2,    5,    0,    1
   943,     307200,    0,    2,    1,   12
   944,     307328,    4,    0,    0,    7
   945,     308700,    3,    2,    2,    2
   946,     311040,    0,    1,    5,    8
   947,     312500,    0,    7,    0,    2
   948,     313600,    2,    2,    0,    8
   949,     314928,    0,    0,    9,    4
   950,     315000,    1,    4,    2,    3
   951,     317520,    2,    1,    4,    4
   952,     320000,    0,    4,    0,    9
   953,     321489,    2,    0,    8,    0
   954,     322560,    1,    1,    2,   10
   955,     324000,    0,    3,    4,    5
   956,     324135,    4,    1,    3,    0
   957,     326592,    1,    0,    6,    6
   958,     327680,    0,    1,    0,   16
   959,     328050,    0,    2,    8,    1
   960,     328125,    1,    6,    1,    0
   961,     329280,    3,    1,    1,    6
   962,     330750,    2,    3,    3,    1
   963,     331776,    0,    0,    4,   12
   964,     333396,    3,    0,    5,    2
   965,     336000,    1,    3,    1,    7
   966,     336140,    5,    1,    0,    2
   967,     337500,    0,    5,    3,    2
   968,     338688,    2,    0,    3,    8
   969,     340200,    1,    2,    5,    3
   970,     343000,    3,    3,    0,    3
   971,     344064,    1,    0,    1,   14
   972,     345600,    0,    2,    3,    9
   973,     345744,    4,    0,    2,    4
   974,     349920,    0,    1,    7,    5
   975,     350000,    1,    5,    0,    4
   976,     351232,    3,    0,    0,   10
   977,     352800,    2,    2,    2,    5
   978,     352947,    6,    0,    1,    0
   979,     354294,    0,    0,   11,    1
   980,     354375,    1,    4,    4,    0
   981,     357210,    2,    1,    6,    1
   982,     358400,    1,    2,    0,   11
   983,     360000,    0,    4,    2,    6
   984,     360150,    4,    2,    1,    1
   985,     362880,    1,    1,    4,    7
   986,     364500,    0,    3,    6,    2
   987,     367416,    1,    0,    8,    3
   988,     367500,    2,    4,    1,    2
   989,     368640,    0,    1,    2,   13
   990,     370440,    3,    1,    3,    3
   991,     373248,    0,    0,    6,    9
   992,     375000,    0,    6,    1,    3
   993,     376320,    2,    1,    1,    9
   994,     378000,    1,    3,    3,    4
   995,     381024,    2,    0,    5,    5
   996,     382725,    1,    2,    7,    0
   997,     384000,    0,    3,    1,   10
   998,     384160,    4,    1,    0,    5
   999,     385875,    3,    3,    2,    0
  1000,     387072,    1,    0,    3,   11
  1001,     388800,    0,    2,    5,    6
  1002,     388962,    4,    0,    4,    1
  1003,     390625,    0,    8,    0,    0
  1004,     392000,    2,    3,    0,    6
  1005,     393216,    0,    0,    1,   17
  1006,     393660,    0,    1,    9,    2
  1007,     393750,    1,    5,    2,    1
  1008,     395136,    3,    0,    2,    7
  1009,     396900,    2,    2,    4,    2
  1010,     400000,    0,    5,    0,    7
  1011,     401408,    2,    0,    0,   13
  1012,     403200,    1,    2,    2,    8
  1013,     403368,    5,    0,    1,    3
  1014,     405000,    0,    4,    4,    3
  1015,     408240,    1,    1,    6,    4
  1016,     409600,    0,    2,    0,   14
  1017,     411600,    3,    2,    1,    4
  1018,     413343,    1,    0,   10,    0
  1019,     414720,    0,    1,    4,   10
  1020,     416745,    3,    1,    5,    0
  1021,     419904,    0,    0,    8,    6
  1022,     420000,    1,    4,    1,    5
  1023,     420175,    5,    2,    0,    0
  1024,     421875,    0,    6,    3,    0
  1025,     423360,    2,    1,    3,    6
  1026,     425250,    1,    3,    5,    1
  1027,     428652,    2,    0,    7,    2
  1028,     428750,    3,    4,    0,    1
  1029,     430080,    1,    1,    1,   12
  1030,     432000,    0,    3,    3,    7
  1031,     432180,    4,    1,    2,    2
  1032,     435456,    1,    0,    5,    8
  1033,     437400,    0,    2,    7,    3
  1034,     437500,    1,    6,    0,    2
  1035,     439040,    3,    1,    0,    8
  1036,     441000,    2,    3,    2,    3
  1037,     442368,    0,    0,    3,   14
  1038,     444528,    3,    0,    4,    4
  1039,     448000,    1,    3,    0,    9
  1040,     450000,    0,    5,    2,    4
  1041,     451584,    2,    0,    2,   10
  1042,     453600,    1,    2,    4,    5
  1043,     453789,    5,    0,    3,    0
  1044,     455625,    0,    4,    6,    0
  1045,     458752,    1,    0,    0,   16
  1046,     459270,    1,    1,    8,    1
  1047,     459375,    2,    5,    1,    0
  1048,     460800,    0,    2,    2,   11
  1049,     460992,    4,    0,    1,    6
  1050,     463050,    3,    2,    3,    1
  1051,     466560,    0,    1,    6,    7
  1052,     468750,    0,    7,    1,    1
  1053,     470400,    2,    2,    1,    7
  1054,     470596,    6,    0,    0,    2
  1055,     472392,    0,    0,   10,    3
  1056,     472500,    1,    4,    3,    2
  1057,     476280,    2,    1,    5,    3
  1058,     480000,    0,    4,    1,    8
  1059,     480200,    4,    2,    0,    3
  1060,     483840,    1,    1,    3,    9
  1061,     486000,    0,    3,    5,    4
  1062,     489888,    1,    0,    7,    5
  1063,     490000,    2,    4,    0,    4
  1064,     491520,    0,    1,    1,   15
  1065,     492075,    0,    2,    9,    0
  1066,     493920,    3,    1,    2,    5
  1067,     496125,    2,    3,    4,    0
  1068,     497664,    0,    0,    5,   11
  1069,     500000,    0,    6,    0,    5
  1070,     500094,    3,    0,    6,    1
  1071,     501760,    2,    1,    0,   11
  1072,     504000,    1,    3,    2,    6
  1073,     504210,    5,    1,    1,    1
  1074,     506250,    0,    5,    4,    1
  1075,     508032,    2,    0,    4,    7
  1076,     510300,    1,    2,    6,    2
  1077,     512000,    0,    3,    0,   12
  1078,     514500,    3,    3,    1,    2
  1079,     516096,    1,    0,    2,   13
  1080,     518400,    0,    2,    4,    8
  1081,     518616,    4,    0,    3,    3
  1082,     524288,    0,    0,    0,   19
  1083,     524880,    0,    1,    8,    4
  1084,     525000,    1,    5,    1,    3
  1085,     526848,    3,    0,    1,    9
  1086,     529200,    2,    2,    3,    4
  1087,     531441,    0,    0,   12,    0
  1088,     535815,    2,    1,    7,    0
  1089,     537600,    1,    2,    1,   10
  1090,     537824,    5,    0,    0,    5
  1091,     540000,    0,    4,    3,    5
  1092,     540225,    4,    2,    2,    0
  1093,     544320,    1,    1,    5,    6
  1094,     546750,    0,    3,    7,    1
  1095,     546875,    1,    7,    0,    0
  1096,     548800,    3,    2,    0,    6
  1097,     551124,    1,    0,    9,    2
  1098,     551250,    2,    4,    2,    1
  1099,     552960,    0,    1,    3,   12
  1100,     555660,    3,    1,    4,    2
  1101,     559872,    0,    0,    7,    8
  1102,     560000,    1,    4,    0,    7
  1103,     562500,    0,    6,    2,    2
  1104,     564480,    2,    1,    2,    8
  1105,     567000,    1,    3,    4,    3
  1106,     571536,    2,    0,    6,    4
  1107,     573440,    1,    1,    0,   14
  1108,     576000,    0,    3,    2,    9
  1109,     576240,    4,    1,    1,    4
  1110,     580608,    1,    0,    4,   10
  1111,     583200,    0,    2,    6,    5
  1112,     583443,    4,    0,    5,    0
  1113,     588000,    2,    3,    1,    5
  1114,     588245,    6,    1,    0,    0
  1115,     589824,    0,    0,    2,   16
  1116,     590490,    0,    1,   10,    1
  1117,     590625,    1,    5,    3,    0
  1118,     592704,    3,    0,    3,    6
  1119,     595350,    2,    2,    5,    1
  1120,     600000,    0,    5,    1,    6
  1121,     600250,    4,    3,    0,    1
  1122,     602112,    2,    0,    1,   12
  1123,     604800,    1,    2,    3,    7
  1124,     605052,    5,    0,    2,    2
  1125,     607500,    0,    4,    5,    2
  1126,     612360,    1,    1,    7,    3
  1127,     612500,    2,    5,    0,    2
  1128,     614400,    0,    2,    1,   13
  1129,     614656,    4,    0,    0,    8
  1130,     617400,    3,    2,    2,    3
  1131,     622080,    0,    1,    5,    9
  1132,     625000,    0,    7,    0,    3
  1133,     627200,    2,    2,    0,    9
  1134,     629856,    0,    0,    9,    5
  1135,     630000,    1,    4,    2,    4
  1136,     635040,    2,    1,    4,    5
  1137,     637875,    1,    3,    6,    0
  1138,     640000,    0,    4,    0,   10
  1139,     642978,    2,    0,    8,    1
  1140,     643125,    3,    4,    1,    0
  1141,     645120,    1,    1,    2,   11
  1142,     648000,    0,    3,    4,    6
  1143,     648270,    4,    1,    3,    1
  1144,     653184,    1,    0,    6,    7
  1145,     655360,    0,    1,    0,   17
  1146,     656100,    0,    2,    8,    2
  1147,     656250,    1,    6,    1,    1
  1148,     658560,    3,    1,    1,    7
  1149,     661500,    2,    3,    3,    2
  1150,     663552,    0,    0,    4,   13
  1151,     666792,    3,    0,    5,    3
  1152,     672000,    1,    3,    1,    8
  1153,     672280,    5,    1,    0,    3
  1154,     675000,    0,    5,    3,    3
  1155,     677376,    2,    0,    3,    9
  1156,     680400,    1,    2,    5,    4
  1157,     686000,    3,    3,    0,    4
  1158,     688128,    1,    0,    1,   15
  1159,     688905,    1,    1,    9,    0
  1160,     691200,    0,    2,    3,   10
  1161,     691488,    4,    0,    2,    5
  1162,     694575,    3,    2,    4,    0
  1163,     699840,    0,    1,    7,    6
  1164,     700000,    1,    5,    0,    5
  1165,     702464,    3,    0,    0,   11
  1166,     703125,    0,    7,    2,    0
  1167,     705600,    2,    2,    2,    6
  1168,     705894,    6,    0,    1,    1
  1169,     708588,    0,    0,   11,    2
  1170,     708750,    1,    4,    4,    1
  1171,     714420,    2,    1,    6,    2
  1172,     716800,    1,    2,    0,   12
  1173,     720000,    0,    4,    2,    7
  1174,     720300,    4,    2,    1,    2
  1175,     725760,    1,    1,    4,    8
  1176,     729000,    0,    3,    6,    3
  1177,     734832,    1,    0,    8,    4
  1178,     735000,    2,    4,    1,    3
  1179,     737280,    0,    1,    2,   14
  1180,     740880,    3,    1,    3,    4
  1181,     746496,    0,    0,    6,   10
  1182,     750000,    0,    6,    1,    4
  1183,     750141,    3,    0,    7,    0
  1184,     752640,    2,    1,    1,   10
  1185,     756000,    1,    3,    3,    5
  1186,     756315,    5,    1,    2,    0
  1187,     759375,    0,    5,    5,    0
  1188,     762048,    2,    0,    5,    6
  1189,     765450,    1,    2,    7,    1
  1190,     765625,    2,    6,    0,    0
  1191,     768000,    0,    3,    1,   11
  1192,     768320,    4,    1,    0,    6
  1193,     771750,    3,    3,    2,    1
  1194,     774144,    1,    0,    3,   12
  1195,     777600,    0,    2,    5,    7
  1196,     777924,    4,    0,    4,    2
  1197,     781250,    0,    8,    0,    1
  1198,     784000,    2,    3,    0,    7
  1199,     786432,    0,    0,    1,   18
  1200,     787320,    0,    1,    9,    3
  1201,     787500,    1,    5,    2,    2
  1202,     790272,    3,    0,    2,    8
  1203,     793800,    2,    2,    4,    3
  1204,     800000,    0,    5,    0,    8
  1205,     802816,    2,    0,    0,   14
  1206,     806400,    1,    2,    2,    9
  1207,     806736,    5,    0,    1,    4
  1208,     810000,    0,    4,    4,    4
  1209,     816480,    1,    1,    6,    5
  1210,     819200,    0,    2,    0,   15
  1211,     820125,    0,    3,    8,    0
  1212,     823200,    3,    2,    1,    5
  1213,     823543,    7,    0,    0,    0
  1214,     826686,    1,    0,   10,    1
  1215,     826875,    2,    4,    3,    0
  1216,     829440,    0,    1,    4,   11
  1217,     833490,    3,    1,    5,    1
  1218,     839808,    0,    0,    8,    7
  1219,     840000,    1,    4,    1,    6
  1220,     840350,    5,    2,    0,    1
  1221,     843750,    0,    6,    3,    1
  1222,     846720,    2,    1,    3,    7
  1223,     850500,    1,    3,    5,    2
  1224,     857304,    2,    0,    7,    3
  1225,     857500,    3,    4,    0,    2
  1226,     860160,    1,    1,    1,   13
  1227,     864000,    0,    3,    3,    8
  1228,     864360,    4,    1,    2,    3
  1229,     870912,    1,    0,    5,    9
  1230,     874800,    0,    2,    7,    4
  1231,     875000,    1,    6,    0,    3
  1232,     878080,    3,    1,    0,    9
  1233,     882000,    2,    3,    2,    4
  1234,     884736,    0,    0,    3,   15
  1235,     885735,    0,    1,   11,    0
  1236,     889056,    3,    0,    4,    5
  1237,     893025,    2,    2,    6,    0
  1238,     896000,    1,    3,    0,   10
  1239,     900000,    0,    5,    2,    5
  1240,     900375,    4,    3,    1,    0
  1241,     903168,    2,    0,    2,   11
  1242,     907200,    1,    2,    4,    6
  1243,     907578,    5,    0,    3,    1
  1244,     911250,    0,    4,    6,    1
  1245,     917504,    1,    0,    0,   17
  1246,     918540,    1,    1,    8,    2
  1247,     918750,    2,    5,    1,    1
  1248,     921600,    0,    2,    2,   12
  1249,     921984,    4,    0,    1,    7
  1250,     926100,    3,    2,    3,    2
  1251,     933120,    0,    1,    6,    8
  1252,     937500,    0,    7,    1,    2
  1253,     940800,    2,    2,    1,    8
  1254,     941192,    6,    0,    0,    3
  1255,     944784,    0,    0,   10,    4
  1256,     945000,    1,    4,    3,    3
  1257,     952560,    2,    1,    5,    4
  1258,     960000,    0,    4,    1,    9
  1259,     960400,    4,    2,    0,    4
  1260,     964467,    2,    0,    9,    0
  1261,     967680,    1,    1,    3,   10
  1262,     972000,    0,    3,    5,    5
  1263,     972405,    4,    1,    4,    0
  1264,     979776,    1,    0,    7,    6
  1265,     980000,    2,    4,    0,    5
  1266,     983040,    0,    1,    1,   16
  1267,     984150,    0,    2,    9,    1
  1268,     984375,    1,    6,    2,    0
  1269,     987840,    3,    1,    2,    6
  1270,     992250,    2,    3,    4,    1
  1271,     995328,    0,    0,    5,   12
  1272,    1000000,    0,    6,    0,    6
  1273,    1000188,    3,    0,    6,    2
  1274,    1003520,    2,    1,    0,   12
  1275,    1008000,    1,    3,    2,    7
  1276,    1008420,    5,    1,    1,    2
  1277,    1012500,    0,    5,    4,    2
  1278,    1016064,    2,    0,    4,    8
  1279,    1020600,    1,    2,    6,    3
  1280,    1024000,    0,    3,    0,   13
  1281,    1029000,    3,    3,    1,    3
  1282,    1032192,    1,    0,    2,   14
  1283,    1036800,    0,    2,    4,    9
  1284,    1037232,    4,    0,    3,    4
  1285,    1048576,    0,    0,    0,   20
  1286,    1049760,    0,    1,    8,    5
  1287,    1050000,    1,    5,    1,    4
  1288,    1053696,    3,    0,    1,   10
  1289,    1058400,    2,    2,    3,    5
  1290,    1058841,    6,    0,    2,    0
  1291,    1062882,    0,    0,   12,    1
  1292,    1063125,    1,    4,    5,    0
  1293,    1071630,    2,    1,    7,    1
  1294,    1071875,    3,    5,    0,    0
  1295,    1075200,    1,    2,    1,   11
  1296,    1075648,    5,    0,    0,    6
  1297,    1080000,    0,    4,    3,    6
  1298,    1080450,    4,    2,    2,    1
  1299,    1088640,    1,    1,    5,    7
